timestamp,label,cachegrind_file,Ir,I1mr,Dr,Dw,D1mr,D1mw,DLmr,DLmw,D1_misses,LL_misses,Ir_CSC_YCC_to_RGB,Ir_chrominance_array_upsample,Ir_CSC_RGB_to_YCC
2026-08-06T11:33:11,baseline,metrics/cachegrind/baseline-20260806-113307.out,18459035,1570,2706766,4919736,3012,1471,1226,622,4483,1848,17575320,0,150984
2026-08-07T11:25:58,brute_force_int,metrics/cachegrind/brute_force_int-20260807-112554.out,18274308,1576,2763303,4907579,2994,1481,1222,624,4475,1846,17393370,0,148032
2026-08-07T11:39:39,upsample_bug_fix,metrics/cachegrind/upsample_bug_fix-20260807-113935.out,921929,1545,280639,161587,2954,1438,1219,624,4392,1843,47388,0,148032
2026-08-07T11:58:22,avg_interpolate_sample,metrics/cachegrind/avg_interpolate_sample-20260807-115818.out,1099358,1564,323176,186674,2978,1443,1223,627,4421,1850,110734,0,261954
2026-08-07T12:12:24,D_coeff_fix,metrics/cachegrind/D_coeff_fix-20260807-121220.out,1183217,1604,344599,199199,2981,1452,1224,624,4433,1848,193990,0,261954
